CUSTO;IMPOSTO;SKU
0.01;24.00;336
153.13;24.00;309.1
112.32;24.00;44-K6
37.44;24.00;44-K
18.72;24.00;44
74.88;24.00;44-K4
0.00;0.00;434
0.00;0.00;284
0.00;0.00;CADE
6.02;20.00;167-2K
6.02;20.00;167-1K
3.01;20.00;167-2
3.01;20.00;167-1
27.53;20.00;322-96A-32-O
27.53;20.00;322-96A-34-O
27.53;20.00;322-96A-36-O
27.53;20.00;322-96A-38-O
27.74;20.00;322-96A-38
27.74;20.00;322-96A-36
27.74;20.00;322-96A-34
27.74;20.00;322-96A-32
21.71;24.00;444-K2-1
37.12;24.00;308-1
4.03;24.00;T417
24.01;20.00;322-GC-05
24.01;20.00;322-GC-03
24.01;20.00;322-GC-BB
58.69;20.00;322-SHI-38
58.69;20.00;322-SHI-36
56.78;20.00;322-SHI-34
59.50;20.00;322-SHI-32
59.80;20.00;322-SHI-30
56.95;20.00;322-SRAM-38
56.95;20.00;322-SRAM-36
50.35;20.00;322-SRAM-34
50.35;20.00;322-SRAM-32
50.35;20.00;322-SRAM-30
27.53;20.00;322-94/96-38-O
27.53;20.00;322-94/96-36-O
27.53;20.00;322-94/96-34-O
27.53;20.00;322-94/96-32-O
26.42;20.00;322-94/96-38
26.42;20.00;322-94/96-36
26.42;20.00;322-94/96-34
26.42;20.00;322-94/96-32
26.63;20.00;322-104-38-O
26.63;20.00;322-104-36-O
26.63;20.00;322-104-34-O
26.63;20.00;322-104-32-O
23.89;20.00;322-104-38
23.89;20.00;322-104-36
23.89;20.00;322-104-34
23.89;20.00;322-104-32
11.24;24.00;21
0.00;0.00;188
17.00;24.00;331-1-k
8.50;24.00;331-1
22.20;24.00;307-2
120.80;24.00;307-1
143.00;24.00;307-K
226.49;24.00;373
79.85;24.00;157-K4
0.00;0.00;157
29.70;24.00;473
0.00;0.00;427-1
0.00;0.00;239-
0.00;0.00;25-1
0.00;0.00;227-275-5
0.00;0.00;2274-1
0.00;0.00;008,
0.00;0.00;98-1
18.38;24.00;422-K
0.00;0.00;257-1
5.30;24.00;393-2
0.00;0.00;393-2,
6.59;0.00;394-2
0.00;0.00;458-4
0.00;0.00;4-2
149.46;24.00;412-9
149.46;24.00;412-8
149.46;24.00;412-7
242.54;24.00;458-K3
24.01;24.00;458-3
10.92;24.00;194-K
0.00;0.00;31966
0.00;0.00;102
0.00;0.00;9966
0.00;0.00;19
6.21;24.00;298-K
5.93;24.00;297-K
0.00;0.00;420
0.00;24.00;350-1
81.12;24.00;127-17
81.12;24.00;127-9
7.43;24.00;332
256.06;24.00;289
12.46;24.00;306-2-K
14.86;24.00;332-K
146.80;24.00;464-K10
73.40;24.00;464-K5
44.04;24.00;464-K3
29.36;24.00;464-K
92.45;24.00;94-2
26.23;24.00;152
44.71;24.00;444-K3-2
44.34;24.00;444-K3-1
25.46;24.00;444-2-K
25.09;24.00;444-1-K
39.70;24.00;280-K
35.01;24.00;444-K3
45.13;24.00;375-2
45.07;24.00;375-1
234.07;24.00;446
43.23;24.00;236
12.96;24.00;252-1
24.55;24.00;250-2
24.55;24.00;250-1
49.11;24.00;250-K
29.05;24.00;321-k
21.36;24.00;244
211.27;24.00;443
23.99;24.00;238-1
47.98;24.00;238-k
13.60;24.00;459
11.32;24.00;461
14.68;24.00;464
22.75;24.00;460
140.93;24.00;458-2
65.44;24.00;187
65.30;24.00;355
8.50;24.00;331
16.99;24.00;331-K
25.92;24.00;252-K
121.44;24.00;456
5.39;24.00;393-1
6.31;24.00;394-1
10.41;24.00;453
82.23;24.00;367
143.00;24.00;307
69.18;24.00;441
15.14;24.00;438
81.62;24.00;208
344.19;24.00;439
22.84;24.00;429
11.22;24.00;281
26.90;24.00;272-K4
6.74;24.00;272
55.11;24.00;440
92.45;24.00;94-1
117.50;24.00;151-K6
52.07;24.00;435-1
80.19;24.00;458-1
72.86;24.00;449-2
72.86;24.00;449-1
421.64;24.00;451
220.44;24.00;458-K
145.72;24.00;449-K
71.63;24.00;448
238.19;24.00;451-2
238.19;24.00;451-1
476.38;24.00;451-K
74.36;24.00;160-K
37.01;24.00;160
39.02;24.00;452
248.00;24.00;450
204.86;24.00;457-1
224.36;24.00;457-2
37.12;24.00;154
20.64;24.00;220
21.28;24.00;445
155.55;24.00;287
130.46;24.00;52-1
68.32;24.00;239-K
23.99;24.00;238-2
16.20;24.00;379-3
16.20;24.00;379-5
4.05;24.00;379-4
72.35;24.00;349
79.71;24.00;232-6
59.81;24.00;454
42.69;24.00;275-5
11.59;24.00;428-2
56.59;24.00;347
99.30;24.00;374-K
20.52;24.00;374-2
20.52;24.00;374-1
32.03;24.00;372
24.00;24.00;371
131.56;24.00;362
12.66;24.00;357
99.49;24.00;23
41.92;24.00;275-19
33.47;24.00;218
78.35;24.00;80
148.85;24.00;55
10.50;24.00;150
60.13;24.00;345
39.39;24.00;303
73.68;24.00;377-4K
14.86;24.00;333-K
7.43;24.00;333
116.48;24.00;294
372.50;24.00;399
149.46;24.00;412-6
149.46;24.00;412-5
21.96;24.00;227-2
10.42;24.00;346
3.92;24.00;436-4
3.92;24.00;436-3
2.80;24.00;436-2
2.80;24.00;436-1
2.80;24.00;436
61.50;24.00;415
149.46;24.00;412
41.33;24.00;408
37.26;24.00;222-2
25.23;24.00;147
14.61;24.00;33
225.57;24.00;18
141.18;24.00;129-3
108.04;24.00;66
73.98;24.00;292
81.68;24.00;377-4-K
5.30;24.00;228
290.62;24.00;254-3
64.51;24.00;285
74.45;24.00;222-K
123.84;24.00;220-K6
12.46;24.00;306-10-K
53.92;24.00;272-K8
59.52;24.00;198-1
88.81;24.00;376
40.28;24.00;231-1
