loja_sync,sku,produto,custo,preco,imposto,updated_at
JK Peças,417-2,,4.15,,20.00,27/05/2026 08:39
JK Peças,521,,21.76,,20.00,27/05/2026 08:39
JK Peças,520-3,,60.51,,20.00,27/05/2026 08:39
JK Peças,520-2,,60.51,,20.00,27/05/2026 08:39
JK Peças,520-1,,60.51,,20.00,27/05/2026 08:39
JK Peças,519,,29.64,,20.00,27/05/2026 08:39
JK Peças,518-2,,11.74,,20.00,27/05/2026 08:39
JK Peças,518-1,,11.74,,20.00,27/05/2026 08:39
JK Peças,518-K,,23.47,,20.00,27/05/2026 08:39
JK Peças,517-2,,17.27,,20.00,27/05/2026 08:39
JK Peças,517-1,,17.27,,20.00,27/05/2026 08:39
JK Peças,517-K,,34.53,,20.00,27/05/2026 08:39
JK Peças,516-2,,21.95,,20.00,27/05/2026 08:39
JK Peças,516-1,,21.95,,20.00,27/05/2026 08:39
JK Peças,516-K,,43.90,,20.00,27/05/2026 08:39
JK Peças,514,,46.99,,20.00,27/05/2026 08:39
JK Peças,513-2,,40.08,,20.00,27/05/2026 08:39
JK Peças,513-1,,40.08,,20.00,27/05/2026 08:39
JK Peças,513-K,,80.15,,20.00,27/05/2026 08:39
JK Peças,512-2,,41.74,,20.00,27/05/2026 08:39
JK Peças,512-1,,41.74,,20.00,27/05/2026 08:39
JK Peças,512-K,,83.47,,20.00,27/05/2026 08:39
JK Peças,511,,12.14,,20.00,27/05/2026 08:39
JK Peças,515,,17.74,,20.00,27/05/2026 08:39
JK Peças,D104-32,,23.89,,20.00,27/05/2026 08:39
JK Peças,D104-34,,23.89,,20.00,27/05/2026 08:39
JK Peças,D104-36,,23.89,,20.00,27/05/2026 08:39
JK Peças,D104-38,,23.89,,20.00,27/05/2026 08:39
JK Peças,D104-32-O,,26.63,,20.00,27/05/2026 08:39
JK Peças,D104-34-O,,26.63,,20.00,27/05/2026 08:39
JK Peças,D104-36-O,,26.63,,20.00,27/05/2026 08:39
JK Peças,D104-38-O,,26.63,,20.00,27/05/2026 08:39
JK Peças,D9496-32,,26.42,,20.00,27/05/2026 08:39
JK Peças,D9496-34,,26.42,,20.00,27/05/2026 08:39
JK Peças,D9496-36,,26.42,,20.00,27/05/2026 08:39
JK Peças,D9496-38,,26.42,,20.00,27/05/2026 08:39
