sku,loja_sync,last_update,id_bling,nome_bling,situacao_bling,ncm_bling,saldo_loja,saldo_full
shopee-3008,Dona Nina,05/05/2026 15:16,16629078895,Caneta Micro Aerografo Reparo Automativo,A,,1.0,102.0
1136,Dona Nina,05/05/2026 15:16,16456529760,Carburador Motosserra Ms210/025/230/250,A,,0.0,94.0
1131,Dona Nina,05/05/2026 15:16,16456523726,Carburador Para Motosserra 61 Nova 268 272,A,,0.0,103.0
3022,Dona Nina,05/05/2026 15:16,16455197104,Botão Comando Vidro Elétrico Quadruplo 2006 Até 2012,A,,18.0,101.0
3021,Dona Nina,05/05/2026 15:16,16455195129,Fogareiro Elétrico Cooktop Camping Xfire 2000w 220v Preto,A,,0.0,0.0
3020,Dona Nina,05/05/2026 15:16,16455192376,Tacômetro Sem Fio Para Medir Rotação Rpm,A,,1.0,102.0
3019,Dona Nina,05/05/2026 15:16,16455190295,Tecla Comando Retrovisor Vidro Trava Elétr Caminhao,A,,0.0,99.0
3018,Dona Nina,05/05/2026 15:16,16455186763,Chave Saca Filtro Universal Sacador Ajustável 60-120mm,A,,0.0,99.0
3017,Dona Nina,05/05/2026 15:16,16455184873,Bussola Marítima De Sobrepor Barco E Lancha,A,,0.0,96.0
3016,Dona Nina,05/05/2026 15:16,16455182407,Chave Geral Barcos Lanchas 2 Baterias 350 Amp. 12/24/32v 4p,A,,0.0,98.0
3015,Dona Nina,05/05/2026 15:16,16455179842,Capa Chave Carro Canivete Acessórios,A,,0.0,100.0
3014,Dona Nina,05/05/2026 15:16,16455177344,Máquina De Jateamento De Areia Pneumática Portátil Anti-ferrugem,A,,0.0,0.0
3013,Dona Nina,05/05/2026 15:16,16455173686,"Esticador Tensionador Catraca Arquear Fita Pet 13, 16 E 19mm",A,,46.0,103.0
3012,Dona Nina,05/05/2026 15:16,16455170036,Timer De Fluxo Água Temporizador Irrigação Programável,A,,4.0,128.0
3011,Dona Nina,05/05/2026 15:16,16455166952,Economizador Redutor Carga De Energia Elétrica Diário,A,,0.0,106.0
3010,Dona Nina,05/05/2026 15:16,16455163147,Solenoide Para Guincho Winch Elétrico 12000lbs,A,,17.0,110.0
3009,Dona Nina,05/05/2026 15:16,16455159789,Medidor De Condutividade Tds Ec Água Ppm Us/cm Termometro,A,,0.0,118.0
3008,Dona Nina,05/05/2026 15:16,16455155123,Caneta Micro Aerografo Reparo Automativo,A,,1.0,102.0
