arquivo,sku,nome,produto_bling,ncm,categoria_anterior,categoria_nova,regra_pis_cofins
info\000002\cadastro_produtos.csv,008-1,Car roof antenna,Lâmpada Xenon D4r 6000k,8539.90.90,Manutenção automotiva,Componentes elétricos e iluminação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,105,Car fuel level sensor,Boia Sensor Nivel Combustível  Gasolina,9026.10.29,Manutenção automotiva,"Instrumentos, medição e saúde",geral_2_10_10_25
info\000002\cadastro_produtos.csv,115,Throttle body heater outlet pipe,Tubo Saída Corpo Borboleta Tbi  55559353,4009.31.00,Manutenção automotiva,"Plásticos, borrachas e adesivos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,116,Throttle body heater outlet pipe,Mangueira Retorno Reservatório Água Cruze Tracker 2012 À 2016,4009.31.00,Manutenção automotiva,"Plásticos, borrachas e adesivos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,124,Multifunctional dog repeller,Espanta Cachorro Repelente Eletrônico Preto,8543.20.00,Manutenção automotiva,"Eletrônicos, informática e comunicação",geral_2_10_10_25
info\000002\cadastro_produtos.csv,124-1,Multifunctional dog repellent  Yellow color,Aparelho Anti Latido Ultrasonico Apito Adestramento Cães,8543.70.99,Aparelho ultrasônico repelente de cachorro,"Eletrônicos, informática e comunicação",geral_2_10_10_25
info\000002\cadastro_produtos.csv,126,Double U type vibrator,Vibrador U C Clitóris Casal Recarregável Usb Tipo We-vibe,8467.89.00,Aparelho massageador,"Máquinas, ferramentas e equipamentos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,127-17,Double U type vibrator,Vibrador Duplo U C Clitóris Controle Casal Tipo We-vibe Usb Cor: Roxo,9019.10.00,Aparelho massageador,"Eletrônicos, informática e comunicação",geral_2_10_10_25
info\000002\cadastro_produtos.csv,127-9,Double U type vibrator,Vibrador Duplo U C Clitóris Controle Casal Tipo We-vibe Usb Cor: Rosa,9019.10.00,Aparelho ultrasônico repelente de cachorro,"Eletrônicos, informática e comunicação",geral_2_10_10_25
info\000002\cadastro_produtos.csv,129,Water and iron pipe detector scanner,Scanner Parede Detector Tubo Cano Água Pvc Madeira Fio Metal,8471.90.14,Detector de cano de água,"Eletrônicos, informática e comunicação",geral_2_10_10_25
info\000002\cadastro_produtos.csv,129-3,,Scanner Parede Detector Tubo Cano Água Pvc Madeira Fio Metal Com Pilhas,8471.90.14,"Eletr?nicos, inform?tica e comunica??o","Eletrônicos, informática e comunicação",geral_2_10_10_25
info\000002\cadastro_produtos.csv,134,Injector nozzle return hose for van,Mangueira De Retorno Dos Bicos Sprinter 415/515 Original A6510700132,4009.11.00,Manutenção automotiva,"Plásticos, borrachas e adesivos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,137,Pressure regulating valve,Valvula Reguladora Pressao Rail Flauta 1110010028,8414.90.34,Manutenção automotiva,"Válvulas, registros e conexões",geral_2_10_10_25
info\000002\cadastro_produtos.csv,141,2usb-c Hdmi Network Hub Adapter,Adaptador Hub Rede 2usb-c Hdmi,8517.62.54,Hub períférico para microcomputadores,"Eletrônicos, informática e comunicação",geral_2_10_10_25
info\000002\cadastro_produtos.csv,15-1,Automotive ignition knock sensor,Sensor Detonação XL-7 18640-78G0,9032.89.25,Manutenção automotiva,"Instrumentos, medição e saúde",geral_2_10_10_25
info\000002\cadastro_produtos.csv,158,Fuel Pressure Sensor 0281002937,Sensor Pressão Flauta 0281002908,9032.89.81,Manutenção automotiva,"Instrumentos, medição e saúde",geral_2_10_10_25
info\000002\cadastro_produtos.csv,158-1,Fuel Pressure Sensor 0281002937,Sensor Pressão Flauta 0281002908,9032.89.81,Manutenção automotiva,"Instrumentos, medição e saúde",geral_2_10_10_25
info\000002\cadastro_produtos.csv,173,Vehicle fan module,Modulo Ventoinha 1k0959455,8473.30.42,Manutenção automotiva,"Eletrônicos, informática e comunicação",geral_2_10_10_25
info\000002\cadastro_produtos.csv,176,High Common Fuel Rail Pressure Sensor,Sensor Da Flauta Rail 3.2 55pp40-01,9032.89.81,Manutenção automotiva,"Instrumentos, medição e saúde",geral_2_10_10_25
info\000002\cadastro_produtos.csv,192,Motorcycle fuel tap,Torneira Gasolina Combustivel Cb 500,8481.80.19,Manutenção automotiva,"Válvulas, registros e conexões",geral_2_10_10_25
info\000002\cadastro_produtos.csv,194-K,Pair of LED strips with sequential lighting for signaling.,Fita Par Led Flexível Fina Sequencial Farol Drl 60 Cm Carro,8539.29.10,Manutenção automotiva,Componentes elétricos e iluminação,geral_2_10_10_25
