sku,nome,categoria,marca,custo,preco,imposto,descricao,updated_at,pesquisa_1,pesquisa_2,pesquisa_3
70-K,Par De Roda Livre Automática Gptrend Frontier 2.8 Preto,,,,,,"Roda livre de travamento das rodas 28 estrias originais dos carros: Nissan Frontier X Terra. Pathsfinder. D21e D22. Navara. Material: Alumínio. 2 Peças PEÇA NOVA A PRONTA ENTREGA, GARANTIA DE 3 MESES! QUALQUER DÚVIDA PODE FAZER PERGUNTA, RESPONDEMOS DE IMEDIATO!",01/06/2026 08:43,Par Roda Livre Automática Nissan Frontier X-terra Navara 2pç,Par De Roda Livre Automática Gptrend Frontier 2.8,Par Roda Livre Automática Nissan Frontier X-terra Pick Up
71,Alavanca Manopla Do Freio De Mão Civic 2006 2009 2010 2011,,,,,,Kit Manopla Alavanca Freio De Mão Honda Civic 2006 a 2011 Carro: Honda Modelo: New Civic Ano: 2006 até 2011 Cor: Preto/ Cinza Material: Plástico/ Borracha Embalagem: 1 kit Manopla PEÇA NOVA,01/06/2026 08:43,Manopla Do Freio De Mão Civic 2006 2009 2010 2011 Alavanca,Kit Capa Freio De Mão Compatível Civic 2006 A 2011,Kit Acabamento Alavanca Freio Mão Honda New Civic 2007-2011
47,Sensor Pressão Pneu Para Creta 2016 A 2020,,,,,,"PRODUTO DISPONÍVEL EM PRONTA ENTREGA E ENVIO IMEDIATO. VOCÊ ESTA PROTEGIDO PELA GARANTIA DE FABRICAÇÃO E DEVOLUÇÃO SEM CUSTOS. Produto novo genuíno Hyundai/Kia Garantia: 6 meses. Marca: Schrader (Original) Part Number: 433Mhz Origem: Coréia do Sul Código do produto: 52933-C1100 Sensor de Pressão de Pneu Tpms, aplicável nos seguintes modelos de veículos: IX35 Hyundai: Creta Nova Tucson Kia: Stinger Sensor de Pressão de Pneu Tpms, aplicável nos seguintes modelos de veículos Hyundai: Creta Nova Tucson Sonata ANO: 2015 em diante. Preço referente a um sensor de pneu completo incluso válvula (bico). Esta é uma autopeça de reposição, logo é necessário que o veículo já possua o sistema de monitoramento de pneu da fábrica. SENSOR COM DETECÇÃO AUTOMÁTICA: É SÓ INSTALAR NO LUGAR DO DANIFICADO E RODAR (á 80Km/h) POR 30 MINUTOS INITERRUPTOS QUE O SISTEMA O RECONHECE AUTOMATICAMENTE. NÃO PRECISA LEVAR EM CONCESSIONÁRIA. QUALQUER COMPRA EFETUADA ATÉ AS 12:30 SERÁ ENVIADA NO MESMO DIA! APROVEITE E COMPRE AGORA, NOSSO ESTOQUE PODE ACABAR A QUALQUER MOMENTO! QUEM SOMOS? Nossa empresa está mais de 5 anos no mercado e é certificada como um dos melhores vendedores do site, agilidade experiência e qualidade no serviço resumem nosso trabalho. ATENÇÃO AO CLIENTE: Prezamos pela agilidade e presteza no atendimento ao cliente, por isso, nossa taxa de respostas no site é uma das melhores respondemos as suas dúvidas dentro de 07/15 minutos, a partir das 09 ás 19hrs de segunda a sexta, e aos sábados e domingos das 10 ás 14hrs. Podendo ficar a vontade para tirar suas dúvidas em qualquer horário. Fique a vontade para tirar qualquer dúvida, nossa equipe está á disposição e responderá o mais breve possível. GRUPO TRENDMINAS™ - Aqui você pode confiar.",01/06/2026 08:43,Sensor Pressão Pneu Creta 2016 2017 2018 2019 2020,Sensor Pressão Pneu Parahyund Creta 2016 2017 2018 2019 2020,Sensor De Pressão Pneu Tpms Creta Nova Tucson Sonata Hyundai 2015 2016 2017 2018 2019 2020 433mhz Válvula Stinger
001,Cebolão Radiador Cebolinha Honda Cb500 Shadow Hornet Cbr900,,,,,,"PRODUTO DISPONÍVEL EM PRONTA ENTREGA E ENVIO IMEDIATO. VOCÊ ESTA PROTEGIDO PELA GARANTIA DE FABRICAÇÃO E DEVOLUÇÃO SEM CUSTOS. ESPECIFICAÇÕES TÉCNICAS: Cor: Dourado (como as imagens mostram) Material: Metal Temperatura Aberta: 85 Graus Tamanho do parafuso: m16 Número da Peça OEM: 37760-mt2-003 - 3042678 COMPATÍVEL COM: HONDA CB 500..................................................................1998 até 2005. HONDA VT600 SHADOW................................................1995 até 2005. HONDA VT750 SHADOW................................................2006 até 2014. HONDA CBR 1000RR........................................................2004 até 2019. HONDA CBR 1100 XX SUPER BLACKBIRD..................1997 até 2006. HONDA CBR 900RR FIREBLADE...................................1993 até 2004. HONDA CBR 600RR..........................................................2003 até 2014. HONDA CB600F HORNET...............................................2005 até 2015. CONTEÚDO DA EMBALAGEM: 01 Sensor de Controle de Temperatura Cebolão Radiador QUALQUER COMPRA EFETUADA ATÉ AS 12:30 SERÁ ENVIADA NO MESMO DIA! APROVEITE E COMPRE AGORA, NOSSO ESTOQUE PODE ACABAR A QUALQUER MOMENTO! QUEM SOMOS? Nossa empresa está mercado a mais de 5 anos no mercado livre e é certificada como um dos melhores vendedores do site, agilidade experiência e qualidade no serviço resumem nosso trabalho. ATENÇÃO AO CLIENTE: Prezamos pela agilidade e presteza no atendimento ao cliente, por isso, nossa taxa de respostas no site é uma das melhores respondemos as suas dúvidas dentro de 07/15 minutos, a partir das 09 ás 19hrs de segunda a sexta, e aos sábados e domingos das 10 ás 14hrs. Podendo ficar a vontade para tirar suas dúvidas em qualquer horário. Fique a vontade para tirar qualquer dúvida, nossa equipe está á disposição e responderá o mais breve possível. GRUPO TRENDMINAS™ - Aqui você pode confiar.",01/06/2026 08:43,Cebolão sensor de temperatura Honda Cb500 2002,37760-mt2-003,sensor cebolinha do radiador HONDA CBR 1100
55,Rolamento Coxin Mancal Com Coifa Cardan Touareg Cayenne Q7,,,,,,"PRONTA ENTREGA EM ESTOQUE mancal coxin , suporte para cardam Touareg, audi Q7 e Porsche Cayenne Referencias e compatibilidades: OE :7L0407291, 7L0 407 291 intercâmbio OE : 7L0521407, 7L0 521 407 7L5521102,7L5 521 102 7L6521102,7L6 521 102 7L6521102C,7L6 521 102 C 7L6521102D,7L6 521 102 D 7L6521102E,7L6 521 102 E 7L6521102F,7L6 521 102 F 7L6521102H,7L6 521 102 H 7L6521102N,7L6 521 102 N outro Intercâmbio OE #: 955.421.020.10 955.421.020.11 955.421.020.12 955.421.020.13 955.421.020.14 955.421.020.15 955.421.020.20 955.421.020.21 955.421.020.22 955.421.020.23 V. aplicação em Veículos uso para os Seguintes Modelos de Veículos: para 2006-2010 Audi Q7 para 2002-2010 VW Touareg para 2004-2010 Porsche Cayenne. PRONTA ENTREGA EM ESTOQUE COM GARANTIA DE 3 MESES A PARTIR DA DATA DA ENTREGA!!!! mancal coxin com coifa suporte para cardam Touareg, audi Q7 e Porsche Cayenne Referencias e compatibilidades: OE :7L0407291, 7L0 407 291 intercâmbio OE : 7L0521407, 7L0 521 407 7L5521102,7L5 521 102 7L6521102,7L6 521 102 7L6521102C,7L6 521 102 C 7L6521102D,7L6 521 102 D 7L6521102E,7L6 521 102 E 7L6521102F,7L6 521 102 F 7L6521102H,7L6 521 102 H 7L6521102N,7L6 521 102 N outro Intercâmbio OE #: 955.421.020.10 955.421.020.11 955.421.020.12 955.421.020.13 955.421.020.14 955.421.020.15 955.421.020.20 955.421.020.21 955.421.020.22 955.421.020.23 V. aplicação em Veículos uso para os Seguintes Modelos de Veículos: para 2006-2010 Audi Q7 para 2002-2010 VW Touareg para 2004-2010 Porsche Cayenne",01/06/2026 08:43,Coxim Rolamento Do Cardan Mancal Porsche Cayenne 7l6521102q,Rolamento Coxin Mancal Cardan Touareg Cayenne Q7,Rolamento Coxin Mancal Com Coifa Cardan Touareg Cayenne Q7
46,Sensor Pressão Pneu Captiva Camaro Cruze Malibu 2007,,,,,,"PRODUTO DISPONÍVEL EM PRONTA ENTREGA E ENVIO IMEDIATO. VALOR REFERENTE A 1 (UMA) UNIDADE VOCÊ ESTA PROTEGIDO PELA GARANTIA DE FABRICAÇÃO E DEVOLUÇÃO SEM CUSTOS. Sensor de monitoramento da pressão dos pneus GM Captiva: 2008 até 2017 Camaro: 2009 até 2017 Malibu: 2008 até 2017 VALOR REFERENTE A 1 (UMA) UNIDADE - Número da peça: 25920615 / 20923680 / 22853741 / 20922900 / 22854866 / 13581558 / 12768826 / 15922396 / 25799331 QUALQUER COMPRA EFETUADA ATÉ AS 12:30 SERÁ ENVIADA NO MESMO DIA! APROVEITE E COMPRE AGORA, NOSSO ESTOQUE PODE ACABAR A QUALQUER MOMENTO! QUEM SOMOS? Nossa empresa está mercado a mais de 5 anos no mercado livre e é certificada como um dos melhores vendedores do site, agilidade experiência e qualidade no serviço resumem nosso trabalho. ATENÇÃO AO CLIENTE: Prezamos pela agilidade e presteza no atendimento ao cliente, por isso, nossa taxa de respostas no site é uma das melhores respondemos as suas dúvidas dentro de 07/15 minutos, a partir das 09 ás 19hrs de segunda a sexta, e aos sábados e domingos das 10 ás 14hrs. Podendo ficar a vontade para tirar suas dúvidas em qualquer horário. Fique a vontade para tirar qualquer dúvida, nossa equipe está á disposição e responderá o mais breve possível. GRUPO TRENDMINAS™ - Aqui você pode confiar.",01/06/2026 08:43,Sensor Pressão Do Pneu Tpms Gm Captiva Camaro Malibu,Sensor Tpms Pressão Pneus Captiva Equinox Malibu 13598771,Sensor Pressão Pneu Tpms Captiva Camaro Cruze Malibu 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2.4 3.0 3.6
008,Base Para Antena Carros Ford Focus Mondeo Ka Fiesta Preto,,,,,,"PRODUTO DISPONÍVEL EM PRONTA ENTREGA E ENVIO IMEDIATO. VOCÊ ESTA PROTEGIDO PELA GARANTIA DE FABRICAÇÃO E DEVOLUÇÃO SEM CUSTOS. Base da antena de teto linha Ford Peça nova de excelente qualidade a pronta entrega Valor referente a unidade Compatível com os seguintes veículos: -Ford Focus 2000 até 2013 -Ford Mondeo 1998 até 2005 -Ford Fiesta Street primeira geração (Sedan) 2000 até 2004 Peça número 95GP18828AF QUALQUER COMPRA EFETUADA ATÉ AS 12:30 SERÁ ENVIADA NO MESMO DIA! APROVEITE E COMPRE AGORA, NOSSO ESTOQUE PODE ACABAR A QUALQUER MOMENTO! QUEM SOMOS? Nossa empresa está mercado a mais de 5 anos no mercado livre e é certificada como um dos melhores vendedores do site, agilidade experiência e qualidade no serviço resumem nosso trabalho. ATENÇÃO AO CLIENTE: Prezamos pela agilidade e presteza no atendimento ao cliente, por isso, nossa taxa de respostas no site é uma das melhores respondemos as suas dúvidas dentro de 07/15 minutos, a partir das 09 ás 19hrs de segunda a sexta, e aos sábados e domingos das 10 ás 14hrs. Podendo ficar a vontade para tirar suas dúvidas em qualquer horário. Fique a vontade para tirar qualquer dúvida, nossa equipe está á disposição e responderá o mais breve possível. GRUPO TRENDMINAS - Aqui você pode confiar.",01/06/2026 08:43,Base Para Antena Carros Ford Focus Mondeo Ka Fiesta,Base Oval Antena Teto Focus Anos 00 Á 13,Base Para Antena Ford Fiesta Ka Mondeo Escort Focus
ndo ficar a vontade para tirar suas dúvidas em qualquer horário. Fique a vontade para tirar qualquer dúvida," nossa equipe está á disposição e responderá o mais breve possível. GRUPO TRENDMINAS™ - Aqui você pode confiar.""",01/06/2026 08:32,,,,,,,,,
70,Roda Livre Automática Nissan Frontier 2.8 X-terra Navara Preto,,,,,,"Roda livre de travamento das rodas 28 estrias originais dos carros: Nissan Frontier X Terra. Pathsfinder. D21e D22. Navara. Material: Alumínio. Valor referente a 1 (uma) unidade. PEÇA NOVA A PRONTA ENTREGA, GARANTIA DE 3 MESES! QUALQUER DÚVIDA PODE FAZER PERGUNTA, RESPONDEMOS DE IMEDIATO!",01/06/2026 08:43,Roda Livre Automática Nissan Frontier 2.8 X-terra Navara,Roda Livre Automatica Nissan Frontier Xterra 2.8 Mwm 02 A 07,Roda Livre Automatica Nissan Frontier Xterra 2.8 Mwm 02 A 07
15-1,,,,,,,"PRODUTO DISPONÍVEL EM PRONTA ENTREGA E ENVIO IMEDIATO. VOCÊ ESTA PROTEGIDO PELA GARANTIA DE FABRICAÇÃO E DEVOLUÇÃO SEM CUSTOS. Sensor Detonação Tracker Vitara 2.0 16v Gasolina 99 À 2015 Aplicação: Gm Tracker 2.0 16v à Gasolina - 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009 Suzuki Vitara 2.0 16v à Gasolina - 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005 Suzuki Vitara 2.0 16v à Gasolina modelo novo - 2007, 2008, 2009, 2010, 2011 2012, 2013, 2014, 2015 Suzuki Sx4 2.0 16v 4x4 - 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015 Códigos: 18640-52D00 / 18640-78G00 / 18640-78G10 / 91176191 Preço Unitário QUALQUER COMPRA EFETUADA ATÉ AS 12:30 SERÁ ENVIADA NO MESMO DIA! APROVEITE E COMPRE AGORA, NOSSO ESTOQUE PODE ACABAR A QUALQUER MOMENTO! QUEM SOMOS? Nossa empresa está mercado a mais de 5 anos no mercado livre e é certificada como um dos melhores vendedores do site, agilidade experiência e qualidade no serviço resumem nosso trabalho. ATENÇÃO AO CLIENTE: Prezamos pela agilidade e presteza no atendimento ao cliente, por isso, nossa taxa de respostas no site é uma das melhores respondemos as suas dúvidas dentro de 07/15 minutos, a partir das 09 ás 19hrs de segunda a sexta, e aos sábados e domingos das 10 ás 14hrs. Podendo ficar a vontade para tirar suas dúvidas em qualquer horário. Fique a vontade para tirar qualquer dúvida, nossa equipe está á disposição e responderá o mais breve possível. GRUPO TRENDMINAS™ - Aqui você pode confiar.",01/06/2026 08:32,,,
