sku,nome,categoria,marca,custo,imposto,preco,descricao,mlb_principal,mlb_ids,qtd_anuncios_mlb,updated_at,sku_key,cg_unnamed: 0,cg_sku,cg_oem,cg_product name,cg_product description,cg_tradução ptbr  ou nome na bling,cg_material,cg_material ptbr,cg_embalagem individual,cg_embalagem individual ptbr,cg_medidas individuas,cg_unnamed: 12,cg_unnamed: 13,cg_m³ individual,cg_peso individual,cg_individual size,cg_para quer serve,cg_onde será ultilizado,cg_finalizade,"cg_país do 
fabricante / produtor","cg_fabricante/produtor 
conhecido",cg_nome (fabricante / produtor),"cg_logradouro 
(fabricante / produtor)","cg_número 
(fabricante / produtor)","cg_cidade 
(fabricante / produtor)","cg_complemento 
(fabricante / produtor)","cg_estado 
(fabricante / produtor)","cg_denominação 
do produto","cg_detalhamento complementar 
do produto",titulos_anuncios_mlb,gtins_mlb,custos_frete_mlb,modalidades_mlb,custo_attr,imposto_attr,foto
---------,,,,,,,,MLB1978142239,MLB1978142239|MLB1988895735|MLB1988895736|MLB2000704908|MLB2041010779|MLB2041023649|MLB2041042829|MLB2041090853|MLB2055821664|MLB2136935860|MLB2136951134|MLB2158495340|MLB2172002283|MLB2177030246|MLB2177030248|MLB2181951634|MLB2181971176|MLB2891591278|MLB2891885208|MLB2891885210|MLB2926358623|MLB2927075510|MLB2989066400|MLB2991685459|MLB2996495088|MLB2996495099|MLB2997016830|MLB2997023189|MLB2997613063|MLB2997727098|MLB2997738939|MLB3030582867|MLB3285225831|MLB3285238549|MLB3306414961|MLB3306436271|MLB3551731589|MLB3565994817|MLB3607193023|MLB3608112939|MLB3618050495|MLB3655081809|MLB3660376395|MLB3660399513|MLB3675268379|MLB3728618216|MLB3988605943|MLB4038971489|MLB4155642956|MLB4321924928|MLB4471323400|MLB4473685750|MLB4473697112|MLB4473710012|MLB4592635432|MLB4597740872|MLB4644655270|MLB4644694108|MLB4644705176|MLB4938751960|MLB4939982806|MLB4942973510|MLB4942973736|MLB5111579736|MLB5139569464|MLB5360780658,66.0,25/03/2026 12:53,---------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adaptador Luva Roçadeira 9 Estrias De Enxada Rotativa Arador || Adaptador Luva Roçadeira Cardam Stihl Quadrado 5,5mm Ou 6mm. || Adaptador Luva Roçadeira Cardam Stihl Stihl Fs160/220/280 || Adaptador Receptor Carregador Indução Wireless Micro Usb || Adaptador Sem Fio Wireless Qi Indução Receptor Universal || Amortecedor A Gás Caçamba Chevrolet S10 Lt Ltz 2013 2022 || Amortecedor De Caçamba Tampa Traseira S10 Lt Ltz 2013 2022 || Amortecedor Gás Ford Hilux 789123400224 1 Unidade || Amortecedor Mola Gás Tampa Caçamba Ranger S10 Hilux Nissan || Amortecedor Tampa Caçamba Traseira Ford Ranger 2013 À 2023 || Bandeja Dianteira L Direito Fusion 2013 2014 2015 16 || Bandeja Dianteira Lado Direito Fusion 2013 2014 2015 2016 || Bomba D'agua Solar, Aquario, Alta Pressão  12v  Dc 19w Mo || Bomba D'água Solar, Aquario, Alta Pressão 12v/24 Dc 19w || Bomba Água 12v Circulação Água Quente Solar 800 L/h || Botão Alavanca Câmbio Automático Honda Accord 1998-2002 || Botão Da Alavanca Câmbio Automático Honda Accord 03 04 05 || Botão Da Alavanca Do Câmbio Automático Honda Accord 03-05 || Botão Do Cambio Automático Do Honda Accord 98 A 02 || Braco Bandeja Dianteira Direita Fusion 2013 2014 2015 || Chave Farol Auto Original Vw Golf Jetta Tsi Gti 2014 A 2018 || Chave Farol Luz Milha Neblina Auto Passat Jetta Tiguan Golf || Chave Interruptor Do Farol C/ Função Auto Vw Polo Jetta Golf || Engrenagem Caixa De Transferencia Bmw X3 3.0 || Enxada Rotativa Para Roçadeira Stihl 360mm Grande || Enxada Rotativa Para Roçadeira Stihl Fs160 Fs220 Fs280 Fs290 || Enxada Rotativa Para Roçadeira Stihl Fs80 Fs85 Fs120 Fs200 || Grade Inferior Farol Milha Bmw E90 320i 325i 330i 08-12 || Grade Inferior Milha Bmw Série 3 E90 Lci 2009 A 2012 Premium || Guia Farol Dianteiro Dianteiro Hr-v 2015 2016 2017 2018 2019 || Guia Farol Dianteiro Dianteiro Hrv Hr-v 2015 2016 17 Á 2019 || Guia Farol Dianteiro Honda Hr-v 2015 2016 2017 2018 || Guia Farol Dianteiro Hrv Hr-v 2015 2016 17 Á 2019 || Kit Botão Câmbio Honda Accord 1994 À 2002 Com Mola || Luz Subaquática 27 Leds Potência 50w Barco Lancha Ip68 12v || Luz Subaquática Submarina 27 Led's 12v Barcos Lanchas Iates || Luz Subaquática Submarina 42 Led's 12v Barcos Lanchas Azul || Luz Subaquática Submarina 42 Led's 12v Barcos Lanchas Iates || Mini Bomba D'agua 12 Volts 800 Litros/h Coluna 5m 19w || Mini Bomba D'agua 12v 800 Litros/h Para Fontes De Jardim || Mini Bomba D'agua 800 Litro/h 12v Para Fontes De Jardim || Mini Bomba D'água 12v 22w 800 Litros/h Coluna 5m || Mini Bomba D'água 22w 5m 800l/h 24v Dc Solar/bateria/convers || Par Puxador Porta Dianteira Bmw 320i 328i 335 2012-2018 || Par Puxador Porta Dianteira Bmw 320i 328i 335i 316i F30 F31. || Par Puxador Porta Dianteira Bmw 320i 328i F30 2013 2018 || Par Puxador Porta Dianteira Bmw 320i 328i F30 2013 Á 2017 || Par Puxador Porta Dianteira Bmw 320i 328i F30 2013-2017 || Pisca Seta Retrovisor Sorento 2011 2012 2013 2014 2015 || Receptor Adaptador Carregador Universal Indução Wireless Qi || Receptor Adaptador Qi Carregador Universal Indução Wireless || Receptor Carregador Adaptador Sem Fio Wireless Qi Indução Nf || Seta Pisca Retrovisor Led Sequencial Golf Gti Mk7 Jetta Gli || Seta Retrovisor Sequencial Dinâmica Golf Mk7 Gti Jetta Gli || Seta Retrovisor Sequencial Dinâmica Golf Mk7 Mk7.5 Jetta Gli",,"R$ 14,35|R$ 16,45|R$ 18,45|R$ 18,85|R$ 19,85|R$ 20,75|R$ 20,95|R$ 21,15|R$ 21,65|R$ 22,55|R$ 23,65|R$ 24,65|R$ 26,25|R$ 28,35|R$ 30,75|R$ 39,75|R$ 48,05|R$ 6,55|R$ 6,65|R$ 7,75|R$ 7,85",Clássico|Premium,,,
008-1,Car roof antenna,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",,,,"Antena para teto de carro, Material: Plástico e metal, Tamanho individual 60x2x2cm, caixa de papelão",,,,25/03/2026 12:53,008-1,SKU 008-1,008-1,95GP18828AF,Car roof antenna,"Car roof antenna,  Material: Plastic and metal , Individual Size 60x2x2CM, cardboard box","Antena para teto de carro, Material: Plástico e metal, Tamanho individual 60x2x2cm, caixa de papelão", Material: Plastic and metal ,Material: Plástico e metal,cardboard box,caixa de papelão,60.0,2.0,2.0,0.00024,35,Individual Size 60x2x2CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Antena de teto do carro,"Antena para teto de carro, Material: Plástico e metal, Tamanho individual 60x2x2cm, caixa de papelão",,,,,,,cadastro_fotos/008-1.png
008-K,Car roof antenna and base,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",,,,"Antena de teto para carro com base, Material: Plástico e metal, Tamanho individual 60x2x3,5CM, caixa de papelão",,,,25/03/2026 12:53,008-K,SKU 008-K,008-K,95GP18828AF,Car roof antenna and base,"Car roof antenna and base,  Material: Plastic and metal , Individual Size 60x2x3,5CM, cardboard box","Antena de teto para carro com base, Material: Plástico e metal, Tamanho individual 60x2x3,5CM, caixa de papelão", Material: Plastic and metal ,Material: Plástico e metal,cardboard box,caixa de papelão,60.0,2.0,3.5,0.00042,35,"Individual Size 60x2x3,5CM",Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Antena e base para teto de carro,"Antena de teto para carro com base, Material: Plástico e metal, Tamanho individual 60x2x3,5CM, caixa de papelão",,,,,,,cadastro_fotos/008-K.png
4-1,5-Speed vehicle gear lever,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",25.78,24.0,,"Alavanca de câmbio de 5 velocidades para veículo, Material: Couro + Plástico ABS, Tamanho individual 9x5x5CM, caixa de papelão",,,,25/03/2026 12:53,4-1,SKU 4-1,4-1,"CFF0813
",5-Speed vehicle gear lever,"5-Speed vehicle gear lever, Material: Leather + Plastic ABS, Individual Size 9x5x5CM, cardboard box","Alavanca de câmbio de 5 velocidades para veículo, Material: Couro + Plástico ABS, Tamanho individual 9x5x5CM, caixa de papelão",Material: Leather + Plastic ABS,Material: Couro + Plástico ABS,cardboard box,caixa de papelão,9.0,5.0,5.0,0.000225,12,Individual Size 9x5x5CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Alavanca de câmbio de 5 velocidades do veículo,"Alavanca de câmbio de 5 velocidades para veículo, Material: Couro + Plástico ABS, Tamanho individual 9x5x5CM, caixa de papelão",,,,,25.78,24.0,cadastro_fotos/4-1.png
001,Vehicle radiator temperature sensor,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",12.07,24.0,,"Sensor de temperatura do radiador do veículo, Material: Metal e plástico, Tamanho individual 2,5x5x2,5CM, caixa de papelão",MLB1984882492,MLB1984882492|MLB1984892935|MLB2894818909|MLB2894843116|MLB3365926061,5.0,25/03/2026 12:53,1,SKU 001,001,,Vehicle radiator temperature sensor,"Vehicle radiator temperature sensor, Material: Metal and plastic, Individual Size 2,5x5x2,5CM, cardboard box","Sensor de temperatura do radiador do veículo, Material: Metal e plástico, Tamanho individual 2,5x5x2,5CM, caixa de papelão",Material: Metal and plastic,Material: Metal e plástico,cardboard box,caixa de papelão,2.5,5.0,2.5,3.125e-05,28,"Individual Size 2,5x5x2,5CM",Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,sensor de temperatura do radiador do veículo,"Sensor de temperatura do radiador do veículo, Material: Metal e plástico, Tamanho individual 2,5x5x2,5CM, caixa de papelão",Cebolinha Cebolão Radiador Cb500 Hornet Shadow Cbr900 1100xx || Cebolinha Radiador Cb500 Hornet Shadow || Cebolão Do Radiador Honda Shadow Cb 500 Hornet Cbr 600 900 || Cebolão Radiador Cebolinha Honda Cb500 Shadow Hornet Cbr900 || Sensor Temperatura Cebolão Radiador Cb500 Hornet,7891234000224|7893989017458|7895141651722|7895141651739,"R$ 15,45|R$ 18,45|R$ 19,85|R$ 7,75",Clássico|Premium,12.07,24.0,cadastro_fotos/001.png
100,Stereo Auxiliary Cable,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",11.08,24.0,,"Cabo auxiliar estéreo, material: plástico e metal, tamanho individual 20x6,5x1,3 cm, caixa de papelão.",MLB1988957890,MLB1988957890|MLB3558056423|MLB3558108785,3.0,25/03/2026 12:53,100,SKU 100,100,SKU 100,Stereo Auxiliary Cable,"Stereo Auxiliary Cable,  Material: Plastic and metal, Individual Size 20x6,5x1,3CM, cardboard box","Cabo auxiliar estéreo, material: plástico e metal, tamanho individual 20x6,5x1,3 cm, caixa de papelão.", Material: Plastic and metal,Material: Plástico e metal,cardboard box,caixa de papelão,20.0,6.5,1.3,0.000169,,"Individual Size 20x6,5x1,3CM",Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Cabo auxiliar estéreo,"Cabo auxiliar estéreo, material: plástico e metal, tamanho individual 20x6,5x1,3 cm, caixa de papelão.",Cabo Auxiliar Aux Para Radio Original Fiat Punto Linea Stilo || Cabo Auxiliar Carro Fiat Para Rádio Original Punto Palio || Cabo Auxiliar Para Radio Original Do Fiat Punto Promoção,7895141629653|7895141634077|7895141651753,"R$ 6,55|R$ 7,75",Clássico,11.08,24.0,cadastro_fotos/100.png
105,Car fuel level sensor,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",39.9,24.0,,"Sensor de nível de combustível para carro, Material: Plástico e metal, Tamanho individual 23x11x6CM, caixa de papelão",MLB1988959579,MLB1988959579|MLB1988968514|MLB3178397785|MLB4540001606,4.0,25/03/2026 12:53,105,SKU 105,105," 17708-swa-t00
SKU 105",Car fuel level sensor,"Car fuel level sensor,  Material: Plastic and metal, Individual Size 23x11x6CM, cardboard box","Sensor de nível de combustível para carro, Material: Plástico e metal, Tamanho individual 23x11x6CM, caixa de papelão", Material: Plastic and metal,Material: Plástico e metal,cardboard box,caixa de papelão,23.0,11.0,6.0,0.001518,,Individual Size 23x11x6CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,sensor de nível de combustível do carro,"Sensor de nível de combustível para carro, Material: Plástico e metal, Tamanho individual 23x11x6CM, caixa de papelão",Boia Sensor De Nível Crv 2007 2008 2009 2010 2011 || Boia Sensor Nivel Combustível Honda Crv 2007 A 2011 Gasolina || Boia Sensor Nível Combustível Honda Crv 2007 A 2011 || Boia Sensor Nível De Combustível Honda Cr-v 2007 A 2011 Novo,7895139519003|7895141622562,"R$ 19,85|R$ 22,55",Clássico|Premium,39.9,24.0,cadastro_fotos/105.png
107,5-Speed vehicle gear lever,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",29.6,24.0,,"Alavanca de câmbio de 5 velocidades para veículo, Material: Couro + Plástico ABS, Tamanho individual 9x5x5CM, caixa de papelão",MLB1988962872,MLB1988962872|MLB1988966684|MLB1988969587,3.0,25/03/2026 12:53,107,SKU 107,107,SKU 107,5-Speed vehicle gear lever,"5-Speed vehicle gear lever,  Material: Leather + Plastic ABS, Individual Size 9x5x5CM, cardboard box","Alavanca de câmbio de 5 velocidades para veículo, Material: Couro + Plástico ABS, Tamanho individual 9x5x5CM, caixa de papelão", Material: Leather + Plastic ABS,Material: Couro + Plástico ABS,cardboard box,caixa de papelão,9.0,5.0,5.0,0.000225,,Individual Size 9x5x5CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Alavanca de câmbio de 5 velocidades do veículo,"Alavanca de câmbio de 5 velocidades para veículo, Material: Couro + Plástico ABS, Tamanho individual 9x5x5CM, caixa de papelão",Bola Do Cambio Manopla Gol Cromada Voyage Saveiro G5 G6 Preto || Manopla Cromada Voyage / Gol / Saveiro G5 E G6 Original Preto || Manopla Gol / Voyage / Saveiro G5 E G6 Original Vw Preto,7895141650299|7898165420039,"R$ 16,45|R$ 17,65|R$ 19,25",Premium,29.6,24.0,cadastro_fotos/107.png
107-1,6-Speed vehicle gear lever,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",28.43,24.0,,"Alavanca de câmbio de 6 velocidades para veículo, Material: Couro + Plástico ABS, Tamanho individual 9x5x5CM, caixa de papelão",MLB1988981254,MLB1988981254|MLB2969404153|MLB4245039171|MLB4446202916,4.0,25/03/2026 12:53,107-1,SKU 107-1,107-1,SKU 107-1,6-Speed vehicle gear lever,"6-Speed vehicle gear lever,  Material: Leather + Plastic ABS, Individual Size 9x5x5CM, cardboard box","Alavanca de câmbio de 6 velocidades para veículo, Material: Couro + Plástico ABS, Tamanho individual 9x5x5CM, caixa de papelão", Material: Leather + Plastic ABS,Material: Couro + Plástico ABS,cardboard box,caixa de papelão,9.0,5.0,5.0,0.000225,,Individual Size 9x5x5CM,Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Alavanca de câmbio de 6 velocidades do veículo,"Alavanca de câmbio de 6 velocidades para veículo, Material: Couro + Plástico ABS, Tamanho individual 9x5x5CM, caixa de papelão",Manopla Bola Cambio Manual Amarok 6 Marchas Preto || Manopla Bola Câmbio Manual 6 Amarok 2011 2012 2013 2014 2015 Preto || Manopla Bola Câmbio Manual 6 Marcha Fox 2015/2022 Preto || Manopla Câmbio Manual Bola 6 Marchas Volkswagen Amarok Preto,7895139518426|7895139518792,"R$ 16,45|R$ 17,65|R$ 18,45",Premium,28.43,24.0,cadastro_fotos/107-1.png
115,Throttle body heater outlet pipe,Manutenção automotiva,"Tianmen Fengcheng Trading Co. Ltd.
",14.84,24.0,,"Tubo de saída do aquecedor do corpo de borboleta, Material: Plástico, Dimensões individuais: 30x9x3,5 cm, caixa de papelão",MLB1990027778,MLB1990027778|MLB3598209639,2.0,25/03/2026 12:53,115,SKU 115,115,"55559353
SKU:115",Throttle body heater outlet pipe,"Throttle body heater outlet pipe,  Material: Plastic, Individual Size 30x9x3,5CM, cardboard box","Tubo de saída do aquecedor do corpo de borboleta, Material: Plástico, Dimensões individuais: 30x9x3,5 cm, caixa de papelão", Material: Plastic,Material: Plástico,cardboard box,caixa de papelão,30.0,9.0,3.5,0.000945,,"Individual Size 30x9x3,5CM",Manutenção automotiva,Em veículos automotores compatíveis,Revenda online,"160 - CHINA, REPÚBLICA POPULAR","Tianmen Fengcheng Trading Co. Ltd.
","Tianmen Fengcheng Trading Co. Ltd.
","Jingling Street, E-Commerce Industrial Park",S/N,Tianmen,Room 301,Hubei Province,Tubo de saída do aquecedor do corpo de borboleta,"Tubo de saída do aquecedor do corpo de borboleta, Material: Plástico, Dimensões individuais: 30x9x3,5 cm, caixa de papelão",Mangueira Tubo Saída Calor Tbi Sonic Cruze Tracker 12/16 || Tubo Saída Corpo Borboleta Tbi Sonic 2012 13 2014 55559353,7895141625587,"R$ 7,85|R$ 7,95",Clássico,14.84,24.0,cadastro_fotos/115.png
