sku,mlb_principal,mlb_ids,qtd_anuncios_mlb
---------,MLB1978142239,MLB1978142239|MLB1988895735|MLB1988895736|MLB2000704908|MLB2041010779|MLB2041023649|MLB2041042829|MLB2041090853|MLB2055821664|MLB2136935860|MLB2136951134|MLB2158495340|MLB2172002283|MLB2177030246|MLB2177030248|MLB2181951634|MLB2181971176|MLB2891591278|MLB2891885208|MLB2891885210|MLB2926358623|MLB2927075510|MLB2989066400|MLB2991685459|MLB2996495088|MLB2996495099|MLB2997016830|MLB2997023189|MLB2997613063|MLB2997727098|MLB2997738939|MLB3030582867|MLB3285225831|MLB3285238549|MLB3306414961|MLB3306436271|MLB3551731589|MLB3565994817|MLB3607193023|MLB3608112939|MLB3618050495|MLB3655081809|MLB3660376395|MLB3660399513|MLB3675268379|MLB3728618216|MLB3988605943|MLB4038971489|MLB4155642956|MLB4321924928|MLB4471323400|MLB4473685750|MLB4473697112|MLB4473710012|MLB4592635432|MLB4597740872|MLB4644655270|MLB4644694108|MLB4644705176|MLB4938751960|MLB4939982806|MLB4942973510|MLB4942973736|MLB5111579736|MLB5139569464|MLB5360780658,66.0
008-1,,,
008-K,,,
04/JAN,,,
001,MLB1984882492,MLB1984882492|MLB1984892935|MLB2894818909|MLB2894843116|MLB3365926061,5.0
100,MLB1988957890,MLB1988957890|MLB3558056423|MLB3558108785,3.0
105,MLB1988959579,MLB1988959579|MLB1988968514|MLB3178397785|MLB4540001606,4.0
107,MLB1988962872,MLB1988962872|MLB1988966684|MLB1988969587,3.0
107-1,MLB1988981254,MLB1988981254|MLB2969404153|MLB4245039171|MLB4446202916,4.0
115,MLB1990027778,MLB1990027778|MLB3598209639,2.0
116,MLB1990042469,MLB1990042469|MLB1990048537|MLB3331195036|MLB3558249607|MLB3658452839|MLB3950755258,6.0
012,MLB1985423253,MLB1985423253|MLB1985423263|MLB1985428470|MLB2935288462|MLB4659830906,5.0
120,MLB1991208688,MLB1991208688|MLB3271833971|MLB3374294788|MLB3558390215|MLB4340741952,5.0
124,,,
124-1,MLB2929560184,MLB2929560184,1.0
126,MLB1991211721,MLB1991211721,1.0
127-17,,,
127-9,,,
129,,,
129-3,,,
134,MLB2988875377,MLB2988875377|MLB2988887230|MLB2988892377|MLB4343482804|MLB4343495522,5.0
137,,,
139,,,
141,MLB2155528272,MLB2155528272|MLB3336927641|MLB3559490787|MLB3692066514|MLB3692095662,5.0
147,,,
147-K4,,,
149,,,
149-K4,,,
15-1,MLB1985533200,MLB1985533200|MLB1985536370|MLB2925294409|MLB4333551086,4.0
15/JAN,,,
150,MLB1991264780,MLB1991264780|MLB1991268011,2.0
151,,,
151-K6,,,
152,,,
152-K6,MLB1986786024,MLB1986786024|MLB1986792691|MLB6021545472,3.0
154,MLB1991283594,MLB1991283594|MLB2991886117|MLB2991886131|MLB2991898563|MLB2991916441,5.0
155,,,
157-K4,,,
158,,,
158-1,,,
016,MLB1984819034,MLB1984819034|MLB2935746873|MLB2935753005|MLB2935823315,4.0
160,MLB2068416358,MLB2068416358|MLB2929577661|MLB2929577668|MLB2929577676|MLB3310247655|MLB4485936079|MLB6296243040,7.0
160-K,MLB2929686863,MLB2929686863|MLB2929724640|MLB2929724830|MLB3591654052|MLB3796645969,5.0
167,MLB2026742005,MLB2026742005|MLB2939497937|MLB2939497942,3.0
167-1,MLB4315801277,MLB4315801277|MLB5950551696,2.0
167-1K,MLB4319301377,MLB4319301377|MLB5956186382,2.0
167-2,MLB4319570435,MLB4319570435|MLB5956982160|MLB5957033968,3.0
167-2K,MLB5956895894,MLB5956895894|MLB5957012000|MLB5957137660,3.0
