ncm,descricao,ii_antigo,ipi_antigo,pis_antigo,cofins_antigo,ii_novo,ipi_novo,pis_novo,cofins_novo,pis_cofins_regra,alterado
39173900,Outros,16.0,3.25,2.1,9.65,16.0,3.25,2.1,10.25,geral_2_10_10_25,True
39191090,Outras,14.4,9.75,2.1,9.65,14.4,9.75,2.1,10.25,geral_2_10_10_25,True
39199090,Películas autoadesivas,16.0,9.75,2.1,9.65,16.0,15.0,2.1,10.25,geral_2_10_10_25,True
39269090,Bolsas para coleta de sangue e seus componentes e bolsas de diálise peritoneal (infusão e drenagem),18.0,6.5,2.1,9.65,18.0,0.0,2.1,10.25,geral_2_10_10_25,True
40091100,Sem acessórios,12.6,6.5,3.2,9.65,12.6,6.5,2.1,10.25,geral_2_10_10_25,True
40091290,Outros,14.4,6.5,2.1,9.65,12.6,6.5,2.1,10.25,geral_2_10_10_25,True
40093100,Sem acessórios,12.6,6.5,2.1,9.65,12.6,6.5,2.1,10.25,geral_2_10_10_25,True
40093290,Outros,12.6,6.5,2.1,9.65,12.6,6.5,2.1,10.25,geral_2_10_10_25,True
40094290,Outros,12.6,6.5,2.1,9.65,12.6,6.5,2.1,10.25,geral_2_10_10_25,True
40169300,"Juntas, gaxetas e semelhantes",16.0,5.2,2.1,9.65,16.0,5.2,2.1,10.25,geral_2_10_10_25,True
40169990,Viras para calçados,16.0,11.7,2.1,9.65,16.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
44101919,Outros,9.0,3.25,2.1,9.65,9.0,3.25,2.1,10.25,geral_2_10_10_25,True
58079000,Outros,26.0,0.0,2.1,10.25,26.0,0.0,2.1,10.25,geral_2_10_10_25,False
82075011,"Helicoidais, de diâmetro inferior ou igual a 52 mm",16.2,5.2,2.1,9.65,16.2,5.2,2.1,10.25,geral_2_10_10_25,True
83012000,Fechaduras do tipo utilizado em veículos automóveis,16.0,6.5,2.1,9.65,16.0,6.5,3.12,14.37,autopecas_3_12_14_37,True
83030000,"Cofres-fortes, portas blindadas e compartimentos para casas-fortes, cofres e caixas de segurança e artigos semelhantes, de metais comuns",14.4,6.5,2.1,9.65,14.4,9.75,2.1,10.25,geral_2_10_10_25,True
84099115,Coletores de admissão ou de escape,16.0,3.25,3.12,14.97,16.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
84099118,Outros carburadores,16.0,3.25,3.12,14.97,16.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
84099915,Coletores de admissão ou de escape,16.0,3.25,3.12,14.97,16.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
84123110,Cilindros pneumáticos,12.6,0.0,3.12,14.97,12.6,0.0,2.1,10.25,geral_2_10_10_25,True
84133010,Para gasolina ou álcool,18.0,3.25,2.1,9.65,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
84133020,"Em linha, com elementos de injeção de diâmetro igual ou superior a 9,5 mm, para motores de potência igual ou superior a 125 HP, próprios para ônibus ou caminhões",18.0,3.25,3.12,14.97,18.0,2.6,3.12,14.37,autopecas_3_12_14_37,True
84133030,Para óleo lubrificante,18.0,3.25,3.12,14.97,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
84133090,Outras,18.0,3.25,3.12,14.97,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
84137010,Eletrobombas submersíveis,12.6,3.25,2.1,10.25,12.6,3.25,2.1,10.25,geral_2_10_10_25,False
84138100,Bombas,12.6,0.0,2.1,10.25,12.6,0.0,2.1,10.25,geral_2_10_10_25,False
84138200,Elevadores de líquidos,20.0,0.0,2.1,10.25,20.0,0.0,2.1,10.25,override_exato,False
84141000,Bombas de vácuo,12.6,0.0,2.1,10.25,12.6,0.0,2.1,10.25,geral_2_10_10_25,False
84149034,Válvulas,12.6,3.25,2.1,10.25,12.6,3.25,2.1,10.25,geral_2_10_10_25,False
84189900,Condensador frigorífico e evaporador frigorífico,12.6,9.75,2.1,9.65,12.6,3.25,2.1,10.25,geral_2_10_10_25,True
84199090,Outras,20.0,3.25,2.1,10.25,20.0,3.25,2.1,10.25,geral_2_10_10_25,False
84212300,"Filtro de óleo lubrificante, não descartável, equipado com elemento filtrante de papel (substituível), para uso em motores de ignição por compressão, com até 2.600 rpm em potência máxima, próprios para colheitadeiras ou tratores agrícolas",16.0,5.2,3.12,14.97,16.0,2.6,3.12,14.37,autopecas_3_12_14_37,True
84212990,Outros,20.0,0.0,2.1,10.25,12.6,0.0,2.1,10.25,geral_2_10_10_25,True
84213100,Filtros de entrada de ar para motores de ignição por centelha (faísca) ou por compressão,16.0,3.25,2.1,9.65,16.0,5.2,3.12,14.37,autopecas_3_12_14_37,True
84213990,Outros,20.0,0.0,2.1,9.65,12.6,0.0,3.12,14.37,autopecas_3_12_14_37,True
84248229,Outros,20.0,0.0,2.1,10.25,20.0,0.0,2.1,10.25,geral_2_10_10_25,False
84249090,Outras,20.0,3.25,2.1,10.25,12.6,3.25,2.1,10.25,geral_2_10_10_25,True
84251910,"Talhas, cadernais e moitões, manuais",16.2,0.0,2.1,10.25,14.4,0.0,2.1,10.25,geral_2_10_10_25,True
84253110,Com capacidade inferior ou igual a 100 t,20.0,0.0,2.1,10.25,20.0,0.0,2.1,10.25,geral_2_10_10_25,False
84314923,Tanques de combustível e demais reservatórios,20.0,3.25,2.1,10.25,12.6,3.25,2.1,10.25,geral_2_10_10_25,True
84339010,De cortadores de grama (relva),14.4,3.25,2.1,10.25,14.4,3.25,2.1,10.25,geral_2_10_10_25,False
84678900,Outras,12.6,0.0,2.1,9.65,20.0,5.2,2.1,10.25,geral_2_10_10_25,True
84719014,Equipados com sintetizador de voz,0.0,15.0,2.1,9.65,0.0,0.0,2.1,10.25,geral_2_10_10_25,True
84733042,Placas (módulos) de memória com uma superfície inferior ou igual a 50 cm2,10.8,15.0,2.1,9.65,10.8,15.0,2.1,10.25,geral_2_10_10_25,True
84811000,Válvulas redutoras de pressão,12.6,3.25,2.1,9.65,12.6,0.0,3.12,14.37,autopecas_3_12_14_37,True
84812090,Outras,12.6,3.25,2.1,9.65,12.6,0.0,3.12,14.37,autopecas_3_12_14_37,True
84813000,Válvulas de retenção,12.6,3.25,2.1,9.65,12.6,0.0,3.12,14.37,autopecas_3_12_14_37,True
84814000,Válvulas de segurança ou de alívio,12.6,3.25,2.1,9.65,12.6,0.0,3.12,14.37,autopecas_3_12_14_37,True
84818019,Outros,18.0,10.0,2.1,9.65,16.2,0.0,2.1,10.25,geral_2_10_10_25,True
84818021,Válvulas de expansão termostáticas ou pressostáticas,20.0,3.25,2.1,9.65,12.6,0.0,2.1,10.25,geral_2_10_10_25,True
84818092,Válvulas solenoides,20.0,3.25,2.1,9.65,12.6,0.0,3.12,14.37,autopecas_3_12_14_37,True
84818099,Outros,12.6,3.25,2.1,9.65,12.6,3.25,2.1,10.25,geral_2_10_10_25,True
84821010,De carga radial,16.0,7.8,2.1,9.65,16.0,7.8,3.12,14.37,autopecas_3_12_14_37,True
84831020,Árvores de cames para comando de válvulas,12.6,3.25,2.1,9.65,16.0,0.0,3.12,14.37,autopecas_3_12_14_37,True
84834090,Outros,12.6,0.0,2.1,9.65,12.6,0.0,3.12,14.37,autopecas_3_12_14_37,True
84841000,Juntas metaloplásticas,16.0,16.0,2.1,9.65,16.0,7.8,3.12,14.37,autopecas_3_12_14_37,True
84842000,Juntas de vedação mecânicas,12.6,3.25,2.1,9.65,12.6,6.5,3.12,14.37,autopecas_3_12_14_37,True
85044010,Carregadores de acumuladores,12.6,0.0,2.1,9.65,18.0,5.0,2.1,10.25,geral_2_10_10_25,True
85071090,"Do tipo utilizado para o arranque dos motores de ignição por compressão, com intensidade
de corrente igual ou superior a 90 Ah",18.0,15.0,2.1,9.65,18.0,2.6,3.12,14.37,autopecas_3_12_14_37,True
85079090,Outras,16.0,15.0,2.1,9.65,16.0,15.0,2.1,10.25,geral_2_10_10_25,True
85111000,Velas de ignição,18.0,18.0,2.1,9.65,18.0,9.75,3.12,14.37,autopecas_3_12_14_37,True
85113020,Bobinas de ignição,18.0,18.0,2.1,9.65,18.0,9.75,3.12,14.37,autopecas_3_12_14_37,True
85114000,"Para sistema elétrico em 24 V, com potência igual ou superior a 3 kW",18.0,18.0,2.1,9.65,18.0,2.6,3.12,14.37,autopecas_3_12_14_37,True
85119000,Partes,16.0,16.0,2.1,9.65,16.0,9.75,3.12,14.37,autopecas_3_12_14_37,True
85122011,Para colheitadeiras ou tratores agrícolas,18.0,15.0,2.1,9.65,18.0,2.6,3.12,14.37,autopecas_3_12_14_37,True
85122022,Luzes indicadoras de manobras,16.2,9.75,2.1,9.65,18.0,9.75,3.12,14.37,autopecas_3_12_14_37,True
85129000,Partes,14.4,6.5,2.1,9.65,16.0,9.75,3.12,14.37,autopecas_3_12_14_37,True
85169000,De fogões de cozinha,16.2,9.75,2.1,9.65,14.4,5.0,2.1,10.25,geral_2_10_10_25,True
85176254,Distribuidores de conexões para redes (hubs),16.0,15.0,2.1,9.65,9.6,9.75,2.1,10.25,geral_2_10_10_25,True
85271300,Outros aparelhos combinados com um aparelho de gravação ou de reprodução de som,20.0,15.0,2.1,9.65,18.0,20.0,2.1,10.25,geral_2_10_10_25,True
85291090,Outros,16.0,16.0,2.1,9.65,16.0,6.5,2.1,10.25,geral_2_10_10_25,True
