ncm,descricao,ii_antigo,ipi_antigo,pis_antigo,cofins_antigo,ii_novo,ipi_novo,pis_novo,cofins_novo,pis_cofins_regra,alterado
39173900,Outros,16.0,3.25,2.1,10.25,16.0,3.25,2.1,10.25,geral_2_10_10_25,False
39191090,Outras,14.4,9.75,2.1,10.25,14.4,9.75,2.1,10.25,geral_2_10_10_25,False
39199090,Outras,16.0,15.0,2.1,10.25,16.0,9.75,2.1,10.25,geral_2_10_10_25,True
39269090,Outras,18.0,0.0,2.1,10.25,18.0,9.75,2.1,10.25,geral_2_10_10_25,True
40091100,Sem acessórios,12.6,6.5,2.1,10.25,12.6,6.5,2.1,10.25,geral_2_10_10_25,False
40091290,Outros,12.6,6.5,2.1,10.25,12.6,6.5,2.1,10.25,geral_2_10_10_25,False
40093100,Sem acessórios,12.6,6.5,2.1,10.25,12.6,6.5,2.1,10.25,geral_2_10_10_25,False
40093290,Outros,12.6,6.5,2.1,10.25,12.6,6.5,2.1,10.25,geral_2_10_10_25,False
40094290,Outros,12.6,6.5,2.1,10.25,12.6,6.5,2.1,10.25,geral_2_10_10_25,False
40169300,"Juntas, gaxetas e semelhantes",16.0,5.2,2.1,10.25,16.0,5.2,2.1,10.25,geral_2_10_10_25,False
40169990,Outras,16.0,3.25,3.12,14.37,16.0,11.7,3.12,14.37,autopecas_3_12_14_37,True
44101919,Outros,9.0,3.25,2.1,10.25,9.0,3.25,2.1,10.25,geral_2_10_10_25,False
58079000,Outros,26.0,0.0,2.1,10.25,26.0,0.0,2.1,10.25,geral_2_10_10_25,False
82075011,"Helicoidais, de diâmetro inferior ou igual a 52 mm",16.2,5.2,2.1,10.25,16.2,5.2,2.1,10.25,geral_2_10_10_25,False
83012000,Fechaduras do tipo utilizado em veículos automóveis,16.0,6.5,3.12,14.37,16.0,6.5,3.12,14.37,autopecas_3_12_14_37,False
83030000,"Cofres-fortes, portas blindadas e compartimentos para casas-fortes, cofres e caixas de segurança e artigos semelhantes, de metais comuns",14.4,9.75,2.1,10.25,14.4,9.75,2.1,10.25,geral_2_10_10_25,False
84099115,Coletores de admissão ou de escape,16.0,3.25,3.12,14.37,16.0,3.25,3.12,14.37,autopecas_3_12_14_37,False
84099118,Outros carburadores,16.0,3.25,3.12,14.37,16.0,3.25,3.12,14.37,autopecas_3_12_14_37,False
84099915,Coletores de admissão ou de escape,16.0,3.25,3.12,14.37,16.0,3.25,3.12,14.37,autopecas_3_12_14_37,False
84123110,Cilindros pneumáticos,12.6,0.0,2.1,10.25,12.6,0.0,2.1,10.25,geral_2_10_10_25,False
84133010,Para gasolina ou álcool,18.0,3.25,3.12,14.37,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,False
84133020,Injetoras de combustível para motor de ignição por compressão,18.0,2.6,3.12,14.37,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,True
84133030,Para óleo lubrificante,18.0,3.25,3.12,14.37,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,False
84133090,Outras,18.0,3.25,3.12,14.37,18.0,3.25,3.12,14.37,autopecas_3_12_14_37,False
84137010,Eletrobombas submersíveis,12.6,3.25,2.1,10.25,12.6,3.25,2.1,10.25,geral_2_10_10_25,False
84138100,Bombas,12.6,0.0,2.1,10.25,12.6,0.0,2.1,10.25,geral_2_10_10_25,False
84138200,Elevadores de líquidos,20.0,0.0,2.1,10.25,20.0,0.0,2.1,10.25,override_exato,False
84141000,Bombas de vácuo,12.6,0.0,2.1,10.25,12.6,0.0,2.1,10.25,geral_2_10_10_25,False
84149034,Válvulas,12.6,3.25,2.1,10.25,12.6,3.25,2.1,10.25,geral_2_10_10_25,False
84189900,Outras,12.6,3.25,2.1,10.25,12.6,9.75,2.1,10.25,geral_2_10_10_25,True
84199090,Outras,20.0,3.25,2.1,10.25,20.0,3.25,2.1,10.25,geral_2_10_10_25,False
84212300,"Para filtrar carburantes ou óleos lubrificantes nos motores de ignição por centelha (faísca) ou por
compressão",16.0,2.6,3.12,14.37,16.0,5.2,3.12,14.37,autopecas_3_12_14_37,True
84212990,Outros,12.6,0.0,2.1,10.25,12.6,0.0,2.1,10.25,geral_2_10_10_25,False
84213100,Filtros de entrada de ar para motores de ignição por centelha (faísca) ou por compressão,16.0,5.2,3.12,14.37,16.0,5.2,3.12,14.37,autopecas_3_12_14_37,False
84213990,Outros,12.6,0.0,3.12,14.37,12.6,0.0,3.12,14.37,autopecas_3_12_14_37,False
84248229,Outros,20.0,0.0,2.1,10.25,20.0,0.0,2.1,10.25,geral_2_10_10_25,False
84249090,Outras,12.6,3.25,2.1,10.25,12.6,3.25,2.1,10.25,geral_2_10_10_25,False
84251910,"Talhas, cadernais e moitões, manuais",14.4,0.0,2.1,10.25,14.4,0.0,2.1,10.25,geral_2_10_10_25,False
84253110,Com capacidade inferior ou igual a 100 t,20.0,0.0,2.1,10.25,20.0,0.0,2.1,10.25,geral_2_10_10_25,False
84314923,Tanques de combustível e demais reservatórios,12.6,3.25,2.1,10.25,12.6,3.25,2.1,10.25,geral_2_10_10_25,False
84339010,De cortadores de grama (relva),14.4,3.25,2.1,10.25,14.4,3.25,2.1,10.25,geral_2_10_10_25,False
84678900,Outras,20.0,5.2,2.1,10.25,20.0,5.2,2.1,10.25,geral_2_10_10_25,False
84719014,Digitalizadores de imagens (scanners),0.0,0.0,2.1,10.25,0.0,15.0,2.1,10.25,geral_2_10_10_25,True
84733042,Placas (módulos) de memória com uma superfície inferior ou igual a 50 cm2,10.8,15.0,2.1,10.25,10.8,15.0,2.1,10.25,geral_2_10_10_25,False
84811000,Válvulas redutoras de pressão,12.6,0.0,3.12,14.37,12.6,0.0,3.12,14.37,autopecas_3_12_14_37,False
84812090,Outras,12.6,0.0,3.12,14.37,12.6,0.0,3.12,14.37,autopecas_3_12_14_37,False
84813000,Válvulas de retenção,12.6,0.0,3.12,14.37,12.6,0.0,3.12,14.37,autopecas_3_12_14_37,False
84814000,Válvulas de segurança ou de alívio,12.6,0.0,3.12,14.37,12.6,0.0,3.12,14.37,autopecas_3_12_14_37,False
84818019,Outros,16.2,0.0,2.1,10.25,16.2,0.0,2.1,10.25,geral_2_10_10_25,False
84818021,Válvulas de expansão termostáticas ou pressostáticas,12.6,0.0,2.1,10.25,12.6,0.0,2.1,10.25,geral_2_10_10_25,False
84818092,Válvulas solenoides,12.6,0.0,3.12,14.37,12.6,0.0,3.12,14.37,autopecas_3_12_14_37,False
84818099,Outros,12.6,3.25,2.1,10.25,12.6,3.25,2.1,10.25,geral_2_10_10_25,False
84821010,De carga radial,16.0,7.8,3.12,14.37,16.0,7.8,3.12,14.37,autopecas_3_12_14_37,False
84831020,Árvores de cames para comando de válvulas,16.0,0.0,3.12,14.37,16.0,0.0,3.12,14.37,autopecas_3_12_14_37,False
