cofins,erro,fonte_cofins,fonte_ii,fonte_ipi,fonte_pis,ii,ipi,ncm,ncm_formatado,observacoes,override,pis,produto_exemplo,qtd_produtos,regra_pis_cofins,sku_exemplo,status
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,16.0,3.25,39173900,3917.39.00,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Vehicle water pump bypass pipe,1,geral_2_10_9_65,369,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,14.4,9.75,39191090,3919.10.90,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Vehicle side sticker,2,geral_2_10_9_65,94-1,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,16.0,9.75,39199090,3919.90.90,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Fire blanket 1.8x1.2cm,1,geral_2_10_9_65,473,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,18.0,9.75,39269090,3926.90.90,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,8 inch manual suction cup,3,geral_2_10_9_65,391,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,12.6,6.5,40091100,4009.11.00,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Injector nozzle return hose for van,1,geral_2_10_9_65,134,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,12.6,6.5,40091290,4009.12.90,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Clips Intercooler 14463-5X04B'',2,geral_2_10_9_65,379-2,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,12.6,6.5,40093100,4009.31.00,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Throttle body heater outlet pipe,7,geral_2_10_9_65,115,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,12.6,6.5,40093290,4009.32.90,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Turbine oil return pipe 037979,1,geral_2_10_9_65,294,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,12.6,6.5,40094290,4009.42.90,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Intercooler hose for vehicles 14463-5X04B,4,geral_2_10_9_65,384,ok
9.65,,Regra geral COFINS-Importação,Buscador NCM (página pública; conferir exceções TEC/LETEC/Ex-tarifário),TIPI oficial Receita Federal — atualizada ADE RFB nº 1/2026,Regra geral PIS-Importação,16.0,5.2,40169300,4016.93.00,"Fonte gratuita pública usada para alimentar a nova base local. PIS/COFINS usam regra geral quando a página não trouxer exceção específica; confirme exceções com contador. Regra geral; confirmar exceções legais por NCM, destinação e perfil do importador.",False,2.1,Retainer for vehicle valve control,12,geral_2_10_9_65,280,ok
