data,loja_conta,canal,numero,situacao,sku,produto,qtd,valor
2026-01-11,Multimarcas,Loja 204200514,31787,-,S/ ITEM,Venda Geral (S/ discriminação),1,234.7
2026-01-11,Multimarcas,Loja 204200514,31786,-,S/ ITEM,Venda Geral (S/ discriminação),1,249.28
2026-01-11,Multimarcas,Loja 204200514,31785,-,S/ ITEM,Venda Geral (S/ discriminação),1,141.53
2026-01-11,Multimarcas,Loja 204200514,31784,-,S/ ITEM,Venda Geral (S/ discriminação),1,510.22
2026-01-11,Multimarcas,Loja 204200514,31783,-,S/ ITEM,Venda Geral (S/ discriminação),1,105.99
2026-01-11,Multimarcas,Loja 204200514,31782,-,S/ ITEM,Venda Geral (S/ discriminação),1,229.88
2026-01-11,Multimarcas,Loja 204200514,31781,-,S/ ITEM,Venda Geral (S/ discriminação),1,75.9
2026-01-11,Multimarcas,Loja 204200514,31780,-,S/ ITEM,Venda Geral (S/ discriminação),1,63.2
2026-01-11,Multimarcas,Loja 204200514,31779,-,S/ ITEM,Venda Geral (S/ discriminação),1,160.9
2026-01-11,Multimarcas,Loja 204200514,31778,-,S/ ITEM,Venda Geral (S/ discriminação),1,77.0
2026-01-11,Multimarcas,Loja 204200514,31777,-,S/ ITEM,Venda Geral (S/ discriminação),1,355.89
2026-01-11,Multimarcas,Loja 204200514,31776,-,S/ ITEM,Venda Geral (S/ discriminação),1,101.98
2026-01-11,Multimarcas,Loja 204200514,31775,-,S/ ITEM,Venda Geral (S/ discriminação),1,99.89
2026-01-11,Multimarcas,Loja 204200514,31774,-,S/ ITEM,Venda Geral (S/ discriminação),1,268.33
2026-01-11,Multimarcas,Loja 204200514,31773,-,S/ ITEM,Venda Geral (S/ discriminação),1,168.14
2026-01-10,Multimarcas,Loja 204200514,31772,-,S/ ITEM,Venda Geral (S/ discriminação),1,96.99
2026-01-10,Multimarcas,Loja 204200514,31771,-,S/ ITEM,Venda Geral (S/ discriminação),1,269.78
2026-01-10,Multimarcas,Loja 204200514,31770,-,S/ ITEM,Venda Geral (S/ discriminação),1,142.9
2026-01-10,Multimarcas,Loja 204200514,31769,-,S/ ITEM,Venda Geral (S/ discriminação),1,175.0
2026-01-10,Multimarcas,Loja 204200514,31768,-,S/ ITEM,Venda Geral (S/ discriminação),1,155.97
2026-01-10,Multimarcas,Loja 204200514,31767,-,S/ ITEM,Venda Geral (S/ discriminação),1,20.9
2026-01-10,Multimarcas,Loja 204200514,31766,-,S/ ITEM,Venda Geral (S/ discriminação),1,510.22
2026-01-10,Multimarcas,Loja 204200514,31765,-,S/ ITEM,Venda Geral (S/ discriminação),1,45.58
2026-01-10,Multimarcas,Loja 204200514,31764,-,S/ ITEM,Venda Geral (S/ discriminação),1,160.9
2026-01-10,Multimarcas,Loja 204200514,31763,-,S/ ITEM,Venda Geral (S/ discriminação),1,54.99
2026-01-10,Multimarcas,Loja 204200514,31762,-,S/ ITEM,Venda Geral (S/ discriminação),1,49.21
2026-01-10,Multimarcas,Loja 204200514,31761,-,S/ ITEM,Venda Geral (S/ discriminação),1,178.9
2026-01-10,Multimarcas,Loja 204200514,31760,-,S/ ITEM,Venda Geral (S/ discriminação),1,31.99
2026-01-10,Multimarcas,Loja 204200514,31759,-,S/ ITEM,Venda Geral (S/ discriminação),1,128.99
2026-01-10,Multimarcas,Loja 204200514,31758,-,S/ ITEM,Venda Geral (S/ discriminação),1,383.97
2026-01-10,Multimarcas,Loja 204200514,31757,-,S/ ITEM,Venda Geral (S/ discriminação),1,84.24
2026-01-10,Multimarcas,Loja 204200514,31756,-,S/ ITEM,Venda Geral (S/ discriminação),1,175.0
2026-01-10,Multimarcas,Loja 204200514,31755,-,S/ ITEM,Venda Geral (S/ discriminação),1,176.99
2026-01-10,Multimarcas,Loja 204200514,31754,-,S/ ITEM,Venda Geral (S/ discriminação),1,159.41
2026-01-10,Multimarcas,Loja 204200514,31753,-,S/ ITEM,Venda Geral (S/ discriminação),1,510.22
2026-01-10,Multimarcas,Loja 204200514,31752,-,S/ ITEM,Venda Geral (S/ discriminação),1,82.45
2026-01-10,Multimarcas,Loja 204200514,31751,-,S/ ITEM,Venda Geral (S/ discriminação),1,69.9
2026-01-10,Multimarcas,Loja 204200514,31750,-,S/ ITEM,Venda Geral (S/ discriminação),1,104.42
2026-01-10,Multimarcas,Loja 204200514,31749,-,S/ ITEM,Venda Geral (S/ discriminação),1,41.9
2026-01-10,Multimarcas,Loja 204200514,31748,-,S/ ITEM,Venda Geral (S/ discriminação),1,249.28
2026-01-10,Multimarcas,Loja 204200514,31747,-,S/ ITEM,Venda Geral (S/ discriminação),1,62.45
2026-01-10,Multimarcas,Loja 204200514,31746,-,S/ ITEM,Venda Geral (S/ discriminação),1,110.99
2026-01-10,Multimarcas,Loja 204200514,31745,-,S/ ITEM,Venda Geral (S/ discriminação),1,96.04
2026-01-10,Multimarcas,Loja 204200514,31744,-,S/ ITEM,Venda Geral (S/ discriminação),1,41.9
2026-01-10,Multimarcas,Loja 204200514,31743,-,S/ ITEM,Venda Geral (S/ discriminação),1,41.9
2026-01-10,Multimarcas,Loja 204200514,31742,-,S/ ITEM,Venda Geral (S/ discriminação),1,41.9
2026-01-10,Multimarcas,Loja 204200514,31741,-,S/ ITEM,Venda Geral (S/ discriminação),1,47.29
2026-01-10,Multimarcas,Loja 204200514,31740,-,S/ ITEM,Venda Geral (S/ discriminação),1,20.9
2026-01-10,Multimarcas,Loja 204200514,31739,-,S/ ITEM,Venda Geral (S/ discriminação),1,510.22
2026-01-10,Multimarcas,Loja 204200514,31738,-,S/ ITEM,Venda Geral (S/ discriminação),1,31.99
2026-01-10,Multimarcas,Loja 204200514,31737,-,S/ ITEM,Venda Geral (S/ discriminação),1,510.22
2026-01-10,Multimarcas,Loja 204200514,31736,-,S/ ITEM,Venda Geral (S/ discriminação),1,41.98
2026-01-10,Multimarcas,Loja 204200514,31735,-,S/ ITEM,Venda Geral (S/ discriminação),1,146.54
2026-01-10,Multimarcas,Loja 204200514,31734,-,S/ ITEM,Venda Geral (S/ discriminação),1,82.45
2026-01-10,Multimarcas,Loja 204200514,31733,-,S/ ITEM,Venda Geral (S/ discriminação),1,141.53
2026-01-10,Multimarcas,Loja 204200514,31732,-,S/ ITEM,Venda Geral (S/ discriminação),1,395.99
2026-01-10,Multimarcas,Loja 204200514,31731,-,S/ ITEM,Venda Geral (S/ discriminação),1,40.21
2026-01-10,Multimarcas,Loja 204200514,31730,-,S/ ITEM,Venda Geral (S/ discriminação),1,51.89
2026-01-10,Multimarcas,Loja 204200514,31729,-,S/ ITEM,Venda Geral (S/ discriminação),1,141.53
2026-01-09,Multimarcas,Loja 204200514,31728,-,S/ ITEM,Venda Geral (S/ discriminação),1,136.77
2026-01-09,Multimarcas,Loja 204200514,31727,-,S/ ITEM,Venda Geral (S/ discriminação),1,176.0
2026-01-09,Multimarcas,Loja 204200514,31726,-,S/ ITEM,Venda Geral (S/ discriminação),1,510.22
2026-01-09,Multimarcas,Loja 204200514,31725,-,S/ ITEM,Venda Geral (S/ discriminação),1,79.19
2026-01-09,Multimarcas,Loja 204200514,31724,-,S/ ITEM,Venda Geral (S/ discriminação),1,65.99
2026-01-09,Multimarcas,Loja 204200514,31723,-,S/ ITEM,Venda Geral (S/ discriminação),1,128.03
2026-01-09,Multimarcas,Loja 204200514,31722,-,S/ ITEM,Venda Geral (S/ discriminação),1,71.99
2026-01-09,Multimarcas,Loja 204200514,31721,-,S/ ITEM,Venda Geral (S/ discriminação),1,68.99
2026-01-09,Multimarcas,Loja 204200514,31720,-,S/ ITEM,Venda Geral (S/ discriminação),1,175.0
2026-01-09,Multimarcas,Loja 204200514,31719,-,S/ ITEM,Venda Geral (S/ discriminação),1,35.17
2026-01-09,Multimarcas,Loja 204200514,31718,-,S/ ITEM,Venda Geral (S/ discriminação),1,54.99
2026-01-09,Multimarcas,Loja 204200514,31717,-,S/ ITEM,Venda Geral (S/ discriminação),1,395.99
2026-01-09,Multimarcas,Loja 204200514,31716,-,S/ ITEM,Venda Geral (S/ discriminação),1,160.9
2026-01-09,Multimarcas,Loja 204200514,31715,-,S/ ITEM,Venda Geral (S/ discriminação),1,65.99
2026-01-09,Multimarcas,Loja 204200514,31714,-,S/ ITEM,Venda Geral (S/ discriminação),1,1308.93
2026-01-09,Multimarcas,Loja 204200514,31713,-,S/ ITEM,Venda Geral (S/ discriminação),1,39.99
2026-01-09,Multimarcas,Loja 204200514,31712,-,S/ ITEM,Venda Geral (S/ discriminação),1,152.99
2026-01-09,Multimarcas,Loja 204200514,31711,-,S/ ITEM,Venda Geral (S/ discriminação),1,174.99
