sku,titulo_turbo,preco_turbo,status_turbo,loja_sync,last_update,id_bling,nome_bling,situacao_bling,saldo_loja,saldo_full
shopee-377-4-k,,,,Deckas,29/01/2026 08:24,16595356653.0,2 Luz Lâmpada Subaquática 27 Leds Super Potência Barco Lancha Azul,A,18.0,51.0
shopee-377-4,,,,Deckas,29/01/2026 08:24,16595342512.0,Luz Lâmpada Subaquática 27 Leds Super Potência Barco Lancha Cor: Azul,A,37.0,102.0
T2023,,,,Deckas,29/01/2026 08:24,16595330723.0,"Cortador De Isopor, Acetato, Espuma Elétrico Lamina 15cm Nfe",A,0.0,0.0
shopee-377-2,,,,Deckas,29/01/2026 08:24,16595328729.0,Luz Lâmpada Subaquática 27 Leds Super Potência Barco Lancha Cor: Branco,A,73.0,100.0
T1181-1,,,,Deckas,29/01/2026 08:24,16595312864.0,Fechadura Digital Biométrica Eletrônica Touch Biometria App,A,0.0,0.0
shopee-374-2,,,,Deckas,29/01/2026 08:24,16595307111.0,Grade De Luz De Nevoeiro Inferior Lado: Esquerdo,A,2.0,100.0
shopee-374-1,,,,Deckas,29/01/2026 08:24,16595302006.0,Grade De Luz De Nevoeiro Inferior Lado: Direito,A,2.0,100.0
T1197,,,,Deckas,29/01/2026 08:24,16595297988.0,Dispenser Bebidas Parede Uai Mineirinho Bar Butler Aluminio 4 Garrafas,A,0.0,0.0
1-257-5,,,,Deckas,29/01/2026 08:24,16594498492.0,Puxador Interno Porta Bmw 528i 535i 550i M5 Bege,A,11.0,3.0
1-20,,,,Deckas,29/01/2026 08:24,16594441935.0,Sensor Nível Combustível 3m519a299aa,A,32.0,103.0
1-107,,,,Deckas,29/01/2026 08:24,16594109346.0,Manopla Bola Câmbio,A,37.0,0.0
2-342,,,,Deckas,29/01/2026 08:24,16594035778.0,Marcador Medidor Sensor Nível Combustível Digital Universal,A,1005.0,134.0
1-189,,,,Deckas,29/01/2026 08:24,16590488812.0,Amortecedor Mola Gás Tampa Caçamba Lado: Direito,A,14.0,107.0
2-189,,,,Deckas,29/01/2026 08:24,16590481789.0,Amortecedor Mola Gás Tampa Caçamba Lado: Direito,A,41.0,101.0
4-124,,,,Deckas,29/01/2026 08:24,16590242509.0,Espanta Cachorro Repelente Eletrônico Preto,A,1.0,103.0
3-124,,,,Deckas,29/01/2026 08:24,16590237243.0,Espanta Cachorro Repelente Eletrônico Preto,A,1.0,103.0
2-124,,,,Deckas,29/01/2026 08:24,16590227868.0,Espanta Cachorro Repelente Eletrônico Preto,A,1.0,103.0
T253,,,,Deckas,29/01/2026 08:24,16580624727.0,Chave Geral Terminal Corta Corrente para Bateria de moto Jet Ski 12v,A,0.0,0.0
T9,,,,Deckas,29/01/2026 08:24,16580587216.0,Chave Geral Automotiva 12v 24v para baterias de Carro Barco Jeep Interruptor corta corrente 2 chavetas a prova d'agua,A,0.0,0.0
TT66,,,,Deckas,29/01/2026 08:24,16580573513.0,Carburador Roçadeira Stihl Fs75 Fs80 Fs85 Fr85,A,0.0,0.0
T1100,,,,Deckas,29/01/2026 08:24,16580520871.0,Indicador De Consumo Wattímetro Voltímetro Amperímetro 100a,A,5.0,0.0
254-1-Refil,,,,Deckas,29/01/2026 08:24,16572835795.0,Reposição para Bomba Gasolina LR057235,A,0.0,0.0
167-2K,,,,Deckas,29/01/2026 08:24,16568647769.0,Válvula Extensor Bico Pneu Moto Carro Bike 135 Grau Reforçado,A,149.0,0.0
167-1K,,,,Deckas,29/01/2026 08:24,16568587858.0,Par Válvula Extensor Bico Pneu Moto Carro Bike 45 Grau Reforçado,A,143.0,0.0
T351,,,,Deckas,29/01/2026 08:24,16565915614.0,Antena Shark tubarão receptiva am fm Compatível com Honda New Civic City Azera Elantra Hb20s Sedan Peugeot Corolla,A,0.0,0.0
T200,,,,Deckas,29/01/2026 08:24,16565849187.0,Par Meias de Compressão Alívio para dores calcanhar tornozelo pés inchados dores torção fascite plantar,A,0.0,0.0
TJ076,,,,Deckas,29/01/2026 08:24,16565202820.0,Joelheira 3d Com Silicone Patelar E Espiral De Estabilidade,A,0.0,0.0
T2055,,,,Deckas,29/01/2026 08:24,16565101117.0,Rotulador Manual Tex Preto Rotuladora Etiquetadora E101,A,0.0,0.0
T2064,,,,Deckas,29/01/2026 08:24,16564602066.0,Maquina Spa Facial Vapor Ozônio Limpeza Da Pele E Capilar,A,0.0,0.0
T469,,,,Deckas,29/01/2026 08:24,16564574602.0,Atuador Inteligente Wifi Válvula Registro Água E Gás Alexa,A,0.0,0.0
T442,,,,Deckas,29/01/2026 08:24,16564571762.0,Macaco Pneumático Tipo Bolsa 3 Gomos - 3 Toneladas,A,0.0,0.0
T15-0,,,,Deckas,29/01/2026 08:24,16564551974.0,Carteira Organizadora porta objetos veicular quebra sol para óculos documentos papel caneta carro dinheiro cartão,A,5.0,0.0
T359,,,,Deckas,29/01/2026 08:24,16564550707.0,Micrômetro digital medidor de espessura especímetro com bateria,A,0.0,0.0
T355,,,,Deckas,29/01/2026 08:24,16563571843.0,Bico Para Graxeira Pistola De Graxa Aplicador Profissional conector acoplador engraxadeira,A,3.0,0.0
T3013,,,,Deckas,29/01/2026 08:24,16563561705.0,"Esticador Tensionador Catraca Arquear Fita Pet 13, 16 E 19mm",A,0.0,0.0
T2028,,,,Deckas,29/01/2026 08:24,16563558955.0,Alto Falante Macbook Retina A1502 2013 2014 2015 Speaker,A,0.0,0.0
T3011,,,,Deckas,29/01/2026 08:24,16563554125.0,Economizador Redutor Carga De Energia Elétrica Diário,A,0.0,0.0
T200SM,,,,Deckas,29/01/2026 08:24,16563479413.0,Par Meias de Compressão Alívio para dores calcanhar tornozelo pés inchados dores torção fascite plantar,A,0.0,0.0
TJ129,,,,Deckas,29/01/2026 08:24,16563458434.0,Adaptador P/ Até 8 Controles Sem Fio Xbox One P/ Pc Wireless,A,0.0,0.0
